Id,Start time,Completion time,Email,Name,Age?,Gender?,Native/First Language?,Language of Study?,O/L Result?.Religion ,O/L Result?.Mathematics,O/L Result?.Science,O/L Result?.English,O/L Result?.History,O/L Result?.Language,Did you completed A/L?,A/L Stream?,A/L Result?,Other Qualifications or Certifications?,English Proficiency,IELTS Score?,English Level?,Studying Area?,Career Goal?,Monthly Income (personal or family support for education),Funding Method?,Completion Period?,Study Method?,Availability?,Location?,Study Location,Are you Relocated?,Employment Status?,Monthly Salary in LKR?,Work Experience,Course/Program You Are Currently Enrolled,Course Fees?,Semester Fees?,Campus?,How satisfied are you with this course?,How useful would you find a system that recommends courses based on your profile?,Any additional comments or suggestions?
12,10/26/2025 1:51,10/26/2025 1:54,anonymous,,21,Female,Sinhala,English,B,B,C,C,C,B,Yes,Engineering Technology,"ICT - S, Science For Technology - S, Engineering Technology - F",,Self-rated,,Intermediate,Engineering / Technology,Cybersecurity Engineer,"LKR 50,000–100,000",Self-funded,3-4 years,Onsite,Weekdays,Matara ,Colombo,Yes,Unemployed,"95,000",,Bsc (Hons) in Ethical Hacking and Networking Security,"Rs.2,370,000.00","Rs.296,250.00",NIBM,2,4,"Well
"
13,10/26/2025 1:55,10/26/2025 2:01,anonymous,,20,Male,Tamil,English,B,C,C,B,S,A,No,,,,Self-rated,,Intermediate,Information Technology,Information Security Specialist,"> LKR 100,000",Self-funded,3-4 years,Onsite,Weekends,Colombo ,Colombo,No,Unemployed,"83,000",,BSc (Hons) in Ethical Hacking and Network Security,"Rs.2,370,000.00","Rs.296,250.00",NIBM,2,3,"Good
"
14,10/26/2025 8:05,10/26/2025 10:08,anonymous,,21,Female,Tamil,English,B,A,B,C,C,A,Yes,Bio Science,"Physics – F, Chemistry – F, Biology – F
",,Self-rated,,Intermediate,Information Technology,Network Security Engineer,"LKR 50,000–100,000",Self-funded,3-4 years,Onsite,Weekends,Ampara,Colombo,Yes,Unemployed,"82,000",,BSc (Hons) in Computer Networks,"Rs.3,200,000.00","Rs.400,000.00",NSBM,2,2,Well
15,10/26/2025 10:09,10/26/2025 10:15,anonymous,,22,Female,Sinhala,English,A,B,A,C,B,B,Yes,Physical Science,"Physics – F, Chemistry – F, Combined Maths  – F",,Self-rated,,Intermediate,Information Technology,"Digital Forensics Analyst 
","> LKR 100,000",Self-funded,3-4 years,Onsite,Weekends,Badulla,Colombo,Yes,Unemployed,"80,000",,BSc (Hons) in Computer Networks,"Rs.3,200,000.00  ","Rs.400,000.00",NSBM,2,4,Good 
16,10/26/2025 10:15,10/26/2025 10:18,anonymous,,21,Male,Sinhala,Sinhala,B,B,A,B,C,B,Yes,Engineering Technology,"Science For Technology - F, ICT - F, Engineering Technology - F
",,Self-rated,,Intermediate,Information Technology,Cybersecurity Administrator,"LKR 50,000–100,000",Self-funded,3-4 years,Onsite,Weekdays,Colombo,Colombo,No,Unemployed,"75,000",,BSc (Hons) in Computer Networks,"Rs.3,200,000.00","Rs.400,000.00",NSBM,4,2,Well
17,10/26/2025 10:19,10/26/2025 11:02,anonymous,,25,Female,Sinhala,English,B,B,A,B,A,C,Yes,Bio Science,"Physics – F, Chemistry – S, Biology – S",,Self-rated,,Intermediate,Information Technology,Web Developer,"LKR 50,000–100,000",Self-funded,3-4 years,Onsite,Weekdays,Batticalo,Colombo ,Yes,Unemployed,"78,000",,BSc (Hons) in Computer Networks,"Rs.3,200,000.00","Rs.400,000.00",NSBM,2,4,"Well
"
18,10/26/2025 11:02,10/26/2025 11:07,anonymous,,21,Female,Sinhala,English,B,B,B,A,B,C,Yes,Physical Science,"Physics – S, Chemistry – S, Combined Maths-S",,Self-rated,,Intermediate,Information Technology,Mobile Application Developer,"LKR 50,000–100,000",Self-funded,3-4 years,Onsite,Weekdays,Kalmunai,Colombo,Yes,Unemployed,"100,000",,BSc (Hons) in Computer Networks,"Rs.3,200,000.00","Rs.400,000.00",NSBM,4,2,Good
19,10/26/2025 11:08,10/26/2025 11:26,anonymous,,22,Female,Sinhala,English,C,B,B,C,C,B,Yes,Bio Science,"Physics – F, Chemistry – S, Biology – S",,Self-rated,,Intermediate,Information Technology,IT Project Manager,"LKR 50,000–100,000",Self-funded,3-4 years,Onsite,Weekdays,Nigambo,Colombo,Yes,Unemployed,"100,000",,BSc (Hons) in Computer Networks,"Rs.3,200,000.00","Rs.400,000.00",NSBM,2,3,Good
20,10/26/2025 11:27,10/26/2025 11:31,anonymous,,24,Male,Tamil,English,B,B,B,B,B,B,Yes,Physical Science,"Physics – S, Chemistry – F, Combined Maths-S
",,Self-rated,,Intermediate,Information Technology,IT Project Manager,"LKR 50,000–100,000",Self-funded,3-4 years,Onsite,Weekdays,Colombo,Colombo,No,Unemployed,"50,000",,BSc (Hons) in Computer Networks,"Rs.3,200,000.00  ","Rs.400,000.00",NSBM,5,5,Well
21,10/26/2025 11:31,10/26/2025 11:34,anonymous,,23,Male,English,English,A,A,A,A,A,A,Yes,Commerce,"Accountancy -F , Economics -S , Business Studies - S",,Self-rated,,Advanced,Information Technology,Data Analyst ,"> LKR 100,000",Self-funded,3-4 years,Onsite,Weekdays,Ratnapura,Colombo,Yes,Unemployed,"130,000",,BSc (Hons) in Psychology (Including Foundation Year) – London Metropolitan University (UK),"Rs.2,370,000.00  ","Rs.296,250.00",Esoft,3,4,Great
22,10/26/2025 11:36,10/26/2025 11:41,anonymous,,22,Female,Sinhala,English,A,B,B,C,C,A,Yes,Arts,"English - S, History - S, Political Science - F",,Self-rated,,Intermediate,Information Technology,Systems Analyst,"LKR 50,000–100,000",Self-funded,3-4 years,Onsite,Weekdays,Kandy,Colombo,Yes,Unemployed,"120,000",,BSc (Hons) Cybersecurity,"Rs.2,370,000.00","Rs.296,250.00",SLIIT City Uni,4,3,Great
23,10/26/2025 11:41,10/26/2025 11:43,anonymous,,21,Male,Tamil,English,A,B,C,B,B,A,Yes,Engineering Technology,"Science For Technology - S, ICT - S, Engineering Technology - F
",,Self-rated,,Intermediate,Information Technology,Business Analyst,"> LKR 100,000",Self-funded,3-4 years,Onsite,Weekdays,Colombo ,Colombo ,No,Unemployed,"100,000",,BSc (Hons) Business Management with Digital marketing,"Rs.2,370,000.00 ","Rs.296,250.00",SLIIT City Uni,3,2,Well
24,10/26/2025 12:15,10/26/2025 12:19,anonymous,,22,Male,Sinhala,English,A,B,B,B,C,B,Yes,Bio-systems Technology,"Biology - S, Chemistry - S, Biotechnology - F",,Self-rated,,Intermediate,Information Technology,Systems Analyst,"LKR 50,000–100,000",Self-funded,3-4 years,Onsite,Weekdays,Galle ,Colombo,Yes,Unemployed,"60,000",,Bachelor of Technology in Industrial Management Technology,"Rs.2,720,000.00","Rs.340,000.00",UoVT,4,,Great
25,10/26/2025 12:19,10/26/2025 12:25,anonymous,,21,Female,Sinhala,English,C,C,C,C,S,C,Yes,Bio Science,"Physics – F, Chemistry – F, Biology – F",,Self-rated,,Intermediate,Information Technology,IT Project Manager,"LKR 50,000–100,000",Self-funded,3-4 years,Onsite,Weekdays,Galle ,Colombo,Yes,Unemployed,"70,000",,BSc (Hons) Civil Engineering,"Rs.1,310,000.00",Rs.163750.00,ICBT,4,3,Good
26,10/26/2025 12:25,10/26/2025 12:29,anonymous,,21,Female,Sinhala,English,C,C,C,C,S,C,Yes,Physical Science,"Physics – F, Chemistry – F, Combined Maths - F
",,Self-rated,,Intermediate,Information Technology,Data Analyst ,"LKR 50,000–100,000",Self-funded,3-4 years,Onsite,Weekdays,Beruwala ,Colombo,Yes,Unemployed,"90,000",,BSc (External) in Applied Data Analytics,"Rs.3,640,000.00","Rs.455,000.00",University of Colombo ,5,2,Good
27,10/26/2025 12:29,10/26/2025 12:31,anonymous,,25,Male,Sinhala,English,C,C,C,C,S,C,Yes,Commerce,"Accountancy - F, Economics - F, Business Studies - F",,Self-rated,,Intermediate,Information Technology,Systems Analyst,"LKR 50,000–100,000",Self-funded,3-4 years,Onsite,Weekdays,Badulla ,Colombo,Yes,Unemployed,"85,000",,BSc (Hons) Civil Engineering,"Rs.1,310,000.00",Rs.163750.00,ICBT,1,2,Well
28,10/26/2025 12:32,10/26/2025 12:34,anonymous,,24,Male,Tamil,English,C,C,C,C,C,S,Yes,Arts,"English - F, History - F, Political Science - F",,Self-rated,,Intermediate,Information Technology,"Systems Administrator
","LKR 50,000–100,000",Self-funded,3-4 years,Onsite,Weekdays,Jaffna ,Colombo,Yes,Unemployed,"95,000",,BSc (Hons) in Ethical Hacking and Network Security,"Rs.2,370,000.00 "," Rs.296,250.00",NIBM,4,3,Good 
29,10/26/2025 12:34,10/26/2025 12:37,anonymous,,23,Female,English,English,C,C,S,C,C,C,Yes,Engineering Technology,"Science For Technology - F, ICT - F, Engineering Technology - F",,Self-rated,,Intermediate,Information Technology,IT Project Manager,"> LKR 100,000",Self-funded,3-4 years,Onsite,Weekdays,Vavuniya,Colombo,Yes,Unemployed,"83,000",,BSc (Hons) in Information Technology for Business," Rs.2,370,000.00  ","Rs.296,250.00",NIBM,3,4,"Well
"
30,10/26/2025 12:37,10/26/2025 12:39,anonymous,,21,Female,Tamil,English,S,C,C,C,C,C,Yes,Bio-systems Technology,"Biology - F, Chemistry - F, Biotechnology - F",,Self-rated,,Intermediate,Information Technology, Business Analyst,"LKR 50,000–100,000",Self-funded,3-4 years,Onsite,Weekdays,Kinniya,Colombo,Yes,Unemployed,"82,000",,BSc (Hons) in Computing (Software Engineering Pathway)," Rs.2,370,000.00  ","Rs.296,250.00",NIBM,3,5,Good 
31,10/26/2025 12:57,10/26/2025 13:02,anonymous,,21,Male,Tamil,English,A,B,C,B,A,B,Yes,Bio Science,"Physics – F, Chemistry – S, Biology – S",,Self-rated,,Intermediate,Information Technology,"Mobile Application Developer
","LKR 50,000–100,000",Self-funded,3-4 years,Onsite,Weekdays,Nuwara Eliya ,Colombo,Yes,Unemployed,"80,000",,BSc (Hons) in Computer Networks,"Rs.3,200,000.00  ","Rs.400,000.00",NSBM,4,2,Good 
32,10/26/2025 13:03,10/26/2025 13:04,anonymous,,22,Female,Sinhala,English,C,B,A,B,C,A,Yes,Physical Science,"Physics – S, Chemistry – F, Combined Maths - S
",,Self-rated,,Intermediate,Information Technology,"UI / UX Engineer
","LKR 50,000–100,000",Self-funded,3-4 years,Onsite,Weekdays,Kaluthara,Colombo,Yes,Unemployed,"75,000",,BSc (Hons) in Computer Networks,"Rs.3,200,000.00","Rs.400,000.00",NSBM,3,4,
33,10/26/2025 13:05,10/26/2025 13:07,anonymous,,23,Female,Sinhala,English,A,B,B,B,B,C,Yes,Engineering Technology,"Science For Technology - S, ICT - S, Engineering Technology - F
",,Self-rated,,Intermediate,Information Technology,"Science For Technology - S, ICT - S, Engineering Technology - F
","LKR 50,000–100,000",Self-funded,3-4 years,Onsite,Weekdays,Kurunagala ,Colombo,Yes,Unemployed,"78,000",,BSc Engineering (Hons) in Civil Engineering,"Rs.3,400,000.00","Rs.3,400,000.00",SLIIT,3,3,Better
34,10/26/2025 13:08,10/26/2025 13:31,anonymous,,23,Female,Sinhala,English,A,B,B,C,S,B,Yes,Bio Science,"Physics – F, Chemistry – S, Biology – S",,Self-rated,,Intermediate,Information Technology,"Robotic Engineer
","LKR 50,000–100,000",Self-funded,3-4 years,Onsite,Weekdays,Morattuwa,Colombo,No,Unemployed,"100,000",,Supply Chain Management,"Rs.3,640,000.00","Rs.455,000.00",SLTC,4,2,Good 
35,10/26/2025 13:32,10/26/2025 13:38,anonymous,,22,Female,Sinhala,English,C,B,B,C,B,B,Yes,Bio Science,"Physics – F, Chemistry – F, Biology – F
",,Self-rated,,Intermediate,Information Technology,UI / UX Engineer,"LKR 50,000–100,000",Self-funded,3-4 years,Onsite,Weekdays,Hatton ,Colombo,Yes,Unemployed,"100,000",,"Higher National Diploma in Engineering- (Building Services)
","Rs.2,720,000.00","Rs.340,000.00",SLIATE,4,2,Good 
36,10/26/2025 13:38,10/26/2025 13:39,anonymous,,25,Female,Sinhala,English,B,B,B,C,S,B,Yes,Physical Science,"Physics – F, Chemistry – F, Combined Maths - F
",,Self-rated,,Intermediate,Information Technology,"Mobile Application Developer
","LKR 50,000–100,000",Self-funded,3-4 years,Onsite,Weekdays,Puttalam ,Colombo,Yes,Unemployed,"50,000",,BSc (Hons) in Information Technology for Business,"Rs.2,370,000.00  ","Rs.296,250.00",NIBM,4,3,Well
37,10/26/2025 13:40,10/26/2025 13:42,anonymous,,24,Male,Sinhala,English,B,B,B,C,B,A,Yes,Engineering Technology,"Science For Technology - F, ICT - F, Engineering Technology - F
",,Self-rated,,Intermediate,Information Technology,Software Engineer,"LKR 50,000–100,000",Self-funded,3-4 years,Onsite,Weekdays,Gampaha ,Colombo,Yes,Unemployed,"130,000",,BEng (Hons) Electronic & Electrical Engineering,"Rs.2,370,000.00  ","Rs.296,250.00",SLIIT City Uni,4,4,Better
38,10/26/2025 15:42,10/26/2025 16:10,anonymous,,21,Female,Tamil,English,B,B,B,B,B,B,Yes,Bio Science,"Physics – F, Chemistry – S, Biology – S",,Self-rated,,Intermediate,Information Technology,"Machine Learning Engineer
","LKR 50,000–100,000",Self-funded,2-3 years,Onsite,Weekends,Colombo,Kandy,Yes,Unemployed,"120,000",,BSc (Hons) in Management Information Systems,"Rs.3,400,000.00","Rs.3,400,000.00",KIU,3,5,Good
39,10/26/2025 16:10,10/26/2025 16:12,anonymous,,22,Female,Sinhala,English,A,B,B,B,C,B,Yes,Physical Science,"Physics – S, Chemistry – F, Combined Maths - S
",,Self-rated,,Intermediate,Information Technology,"AI Researcher
","> LKR 100,000",Self-funded,2-3 years,Onsite,Weekends,Ampara,Kandy,Yes,Unemployed,"100,000",,BSc (Hons) in Ethical Hacking and Network Security,"Rs.2,370,000.00"," Rs.296,250.00",NIBM,4,2,Better
40,10/26/2025 16:13,10/26/2025 16:15,anonymous,,23,Male,Sinhala,English,C,B,B,B,C,B,Yes,Commerce,"Accountancy - F , Economics - S, Business Studies - S 
",,Self-rated,,Intermediate,Information Technology,"Cybersecurity Analyst
","LKR 50,000–100,000",Self-funded,2-3 years,Onsite,Weekends,Trincomalee,Kandy,Yes,Unemployed,"60,000",,BSc (Hons) in Information Technology for Business,"Rs.2,370,000.00"," Rs.296,250.00",NIBM,3,2,Good
41,10/26/2025 16:16,10/26/2025 16:18,anonymous,,25,Male,Tamil,English,A,A,A,C,A,A,Yes,Arts,"English - S, History - S, Political Science - F 
",,Self-rated,,Intermediate,Information Technology,"Robotics Engineer
","LKR 50,000–100,000",Self-funded,2-3 years,Onsite,Weekends,Batticalo,Kandy,Yes,Unemployed,"70,000",,BSc (Hons) in Computing (Software Engineering Pathway),"Rs.2,370,000.00"," Rs.296,250.00",NIBM,4,,Well
42,10/26/2025 16:18,10/26/2025 16:20,anonymous,,21,Female,Sinhala,English,C,B,C,B,C,B,Yes,Engineering Technology,"Science For Technology - S, ICT - S, Engineering Technology - F
",,Self-rated,,Intermediate,Information Technology,"Data Scientist
","LKR 50,000–100,000",Self-funded,2-3 years,Onsite,Weekends,Colombo,Kandy,Yes,Unemployed,"90,000",,BSc (Hons) in Computer Networks,"Rs.3,200,000.00","Rs.400,000.00",NSBM,4,3,Better
43,10/26/2025 16:20,10/26/2025 16:22,anonymous,,26,Male,Sinhala,English,B,C,B,C,B,C,Yes,Bio-systems Technology,"Biology - S, Chemistry - S, Biotechnology - F
",,Self-rated,,Intermediate,Information Technology,"Cloud AI Developer
","LKR 50,000–100,000",Self-funded,2-3 years,Onsite,Weekends,Polannaruwa,Kandy,Yes,Unemployed,"85,000",,BSc (Hons) in Computer Networks,"Rs.3,200,000.00","Rs.400,000.00",NSBM,5,2,Good
44,10/26/2025 16:56,10/26/2025 18:52,anonymous,,21,Male,Sinhala,English,C,B,B,B,C,C,Yes,Bio Science,"Physics – S, Chemistry – S, Biology – S",,Self-rated,,Intermediate,Information Technology,"Data Analyst
","LKR 50,000–100,000",Self-funded,3-4 years,Onsite,Weekdays,Ampara,Homagama ,Yes,Unemployed,"95,000",,BSc Engineering (Hons) in Civil Engineering,"Rs.3,400,000.00","Rs.3,400,000.00",SLIIT,1,2,Good 
45,10/26/2025 18:54,10/26/2025 19:00,anonymous,,22,Female,Sinhala,English,B,B,B,B,C,B,Yes,Physical Science,"Physics – S, Chemistry – F, Combined Maths - S",,Self-rated,,Intermediate,Information Technology,"Data Engineer
","LKR 50,000–100,000",Self-funded,3-4 years,Onsite,Weekdays,Jaffna ,Homagama ,Yes,Unemployed,"83,000",,Supply Chain Management,"Rs.3,640,000.01","Rs.455,000.01",SLTC,4,3,Well 
46,10/26/2025 19:00,10/26/2025 19:04,anonymous,,23,Male,Sinhala,English,C,B,B,C,B,B,Yes,Engineering Technology,"Science For Technology - S, ICT - S, Engineering Technology - F
",,Self-rated,,Intermediate,Information Technology,"Data Architect
","LKR 50,000–100,000",Self-funded,3-4 years,Onsite,Weekdays,Kandy,Homagama ,Yes,Unemployed,"82,000",,"Higher National Diploma in Engineering- (Building Services)
","Rs.2,720,000.01","Rs.340,000.01",SLIATE,3,4,Better 
47,10/26/2025 19:06,10/26/2025 19:21,anonymous,,24,Male,Tamil,English,A,A,A,A,A,A,Yes,Bio Science,"Physics – S, Chemistry – S, Biology – S",,Self-rated,,Intermediate,Information Technology,"Data Engineer
","LKR 50,000–100,000",Self-funded,3-4 years,Onsite,Weekdays,Kandy,Homagama ,Yes,Unemployed,"80,000",,BSc (Hons) in Information Technology for Business,"Rs.2,370,000.00","Rs.296,250.00",NIBM,3,5,Well 
48,10/26/2025 19:21,10/26/2025 19:30,anonymous,,22,Male,Sinhala,English,B,B,B,B,B,B,Yes,Physical Science,"Physics – S, Chemistry – S, Combined Maths - S
",,Self-rated,,Intermediate,Information Technology,"Data Scientist
","> LKR 100,000",Self-funded,3-4 years,Onsite,Weekdays,Batticalo,Homagama ,Yes,Unemployed,"75,000",,BEng (Hons) Electronic & Electrical Engineering,"Rs.2,370,000.00","Rs.296,250.00",SLIIT City Uni,4,2,Good 
49,10/26/2025 19:30,10/26/2025 19:32,anonymous,,24,Female,Sinhala,English,C,B,B,B,C,C,Yes,Engineering Technology,"Science For Technology - S, ICT - S, Engineering Technology - S
",,Self-rated,,Intermediate,Information Technology,"Data Engineer
","LKR 50,000–100,000",Self-funded,3-4 years,Onsite,Weekdays,Polonnaruwa ,Homagama ,Yes,Unemployed,"78,000",,BSc (Hons) in Management Information Systems,"Rs.3,400,000.00","Rs.3,400,000.00",KIU,3,,Well 
50,10/26/2025 19:32,10/27/2025 0:17,anonymous,,22,Female,Sinhala,English,B,C,C,C,C,A,Yes,Bio Science,"Physics – S, Chemistry – S, Biology – S
",,Self-rated,,Intermediate,Information Technology,"Data Architect
","LKR 50,000–100,000",Self-funded,3-4 years,Onsite,Weekdays,Badulla ,Homagama ,Yes,Unemployed,"100,000",,BSc (Hons) in Ethical Hacking and Network Security,"Rs.2,370,000.00"," Rs.296,250.00",NIBM,3,3,Well
51,10/27/2025 0:17,10/27/2025 0:20,anonymous,,25,Male,Tamil,English,B,C,B,C,C,B,Yes,Physical Science,"Physics – S, Chemistry – S, Combined Maths - S
",,Self-rated,,Intermediate,Information Technology,"Data Consultant
","LKR 50,000–100,000",Self-funded,3-4 years,Onsite,Weekdays,Colombo,Homagama ,No,Unemployed,"100,000",,BSc (Hons) in Ethical Hacking and Network Security,"Rs.2,370,000.00","Rs.296,250.00",NIBM,4,2,Great
52,10/27/2025 0:21,10/27/2025 0:23,anonymous,,24,Female,Sinhala,English,B,C,B,B,B,B,Yes,Commerce,"Accountancy - S , Economics - S, Business Studies - S 
",,Self-rated,,Intermediate,Information Technology,"AI Engineer
","LKR 50,000–100,000",Self-funded,3-4 years,Onsite,Weekdays,Puttalam ,Homagama ,Yes,Unemployed,"50,000",,BSc (Hons) in Ethical Hacking and Network Security,"Rs.2,370,000.00 "," Rs.296,250.00",NIBM,4,2,"Perfect
"
53,10/27/2025 0:23,10/27/2025 0:25,anonymous,,22,Male,Tamil,English,A,C,A,B,B,B,Yes,Arts,"English - S, History - S, Political Science - F 
",,Self-rated,,Intermediate,Information Technology,"Data Architect
","LKR 50,000–100,000",Self-funded,3-4 years,Onsite,Weekdays,Nigambo,Homagama ,Yes,Unemployed,"130,000",,BSc (Hons) in Ethical Hacking and Networking Security,"Rs.2,370,000.00  ","Rs.296,250.00",NIBM,4,3,"Good
"
54,10/27/2025 0:25,10/27/2025 0:27,anonymous,,26,Male,Sinhala,English,B,C,B,C,B,C,Yes,Engineering Technology,"Science For Technology - S, ICT - S, Engineering Technology - F
",,Self-rated,,Intermediate,Information Technology,"Data Analyst
","LKR 50,000–100,000",Self-funded,3-4 years,Onsite,Weekdays,Nuwera Eliya ,Homagama,Yes,Unemployed,"120,000",,BSc (Hons) in Ethical Hacking and Network Security,"Rs.2,370,000.00  ","Rs.296,250.00",NIBM,4,4,"Well
"
55,10/27/2025 0:27,10/27/2025 0:29,anonymous,,23,Male,English,English,A,C,C,A,B,B,Yes,Bio-systems Technology,"Biology - S, Chemistry - S, Biotechnology - S
",,Self-rated,,Intermediate,Information Technology,"Computer Scientists
","LKR 50,000–100,000",Self-funded,3-4 years,Onsite,Weekdays,Knady,Homagama,Yes,Unemployed,"100,000",,BSc (Hons) in Information Technology for Business," Rs.2,370,000.00  ","Rs.296,250.00",NIBM,3,5,Better
56,10/27/2025 0:29,10/27/2025 0:35,anonymous,,21,Female,Sinhala,English,B,B,B,B,B,B,Yes,Bio Science,"Physics – S, Chemistry – S, Biology – S
",,Self-rated,,Intermediate,Information Technology,"Network Architect
","LKR 50,000–100,000",Self-funded,3-4 years,Onsite,Weekdays,Kurunagala ,Homagama,Yes,Unemployed,"60,000",,BSc (Hons) in Management Information Systems,"Rs.3,400,000.00","Rs.3,400,000.00",KIU,4,2,"Better
"
57,10/27/2025 0:36,10/27/2025 0:37,anonymous,,22,Female,Sinhala,English,A,A,A,A,A,A,Yes,Physical Science,"Physics – S, Chemistry – S, Combined Maths - S
",,Self-rated,,Intermediate,Information Technology,"Network Analyst
","> LKR 100,000",Self-funded,3-4 years,Onsite,Weekdays,Happuttala,Homagama,Yes,Unemployed,"70,000",,BSc (Hons) in Data Science,"Rs.2,370,000.00","Rs.296,250.00",KIU,3,2,Great
